Sensor_1,Sensor_2,Sensor_3,x,x_pred
-0.3372241443218767,-0.5596126878725945,-0.37524971726886097,0,0
-0.33531533855758144,-0.5634462712325551,-0.3735221349699355,0,0
-0.33739012743181546,-0.5576826769396488,-0.3732511416681433,0,0
-0.3399213698583809,-0.5589252867183947,-0.37027021534842885,0,0
-0.33805405987157033,-0.5595069338488714,-0.37220104262369846,0,0
-0.33718264854439206,-0.5597713189081791,-0.37037183783660094,0,0
-0.33896696697623324,-0.5601943350030713,-0.3695588579312243,0,0
-0.33763910209672354,-0.5624416080071861,-0.37135418855559776,0,0
-0.336020766774821,-0.5593483028132868,-0.3732850158308674,0,0
-0.33697516965696866,-0.5613311907580941,-0.37460610817710444,0,0
-0.3321201636912611,-0.5616220143233325,-0.37169293018283805,0,0
-0.33514935544764274,-0.5600885809793482,-0.37528359143158496,0,0
-0.3394234205285647,-0.5606437896038943,-0.371659056020114,0,0
-0.33817854720402435,-0.5603000890267943,-0.36999922204663666,0,0
-0.34120773896040596,-0.5614105062758864,-0.36949110960577625,0,0
-0.3358547836648823,-0.5599299499437637,-0.3735898832953836,0,0
-0.3409587642954979,-0.5603000890267943,-0.37094769860290944,0,0
-0.3357717921099129,-0.5596126878725945,-0.3720994201355264,0,0
-0.3388424796437792,-0.5590574792480485,-0.3718623009964582,0,0
-0.33863500075635583,-0.5610139286869249,-0.36806839477136705,0,0
-0.3365187161046372,-0.5596655648844561,-0.37308177085452315,0,0
-0.33792957253911626,-0.5598506344259714,-0.3708122019520133,0,0
-0.33477589345028064,-0.5613047522521633,-0.3706428311383932,0,0
-0.3359792709973363,-0.5609610516750634,-0.37043958616204903,0,0
-0.3367261949920606,-0.5588988482124639,-0.37118481774197765,0,0
-0.33863500075635583,-0.5582643240701256,-0.3706767053011172,0,0
-0.33751461476426947,-0.5583436395879179,-0.3718961751591822,0,0
-0.33552281744500484,-0.5596655648844561,-0.37043958616204903,0,0
-0.33573029633242824,-0.5612518752403017,-0.3729462742036271,0,0
-0.33431943989794916,-0.5623358539834631,-0.37535133975703305,0,0
-0.33875948808880985,-0.5585815861412947,-0.37298014836635107,0,0
-0.33249362568862323,-0.5586873401650178,-0.37050733448749706,0,0
-0.33805405987157033,-0.5598770729319021,-0.3711509435792536,0,0
-0.33734863165433077,-0.5599563884496944,-0.372844651715455,0,0
-0.3342364483429798,-0.5618335223707785,-0.37338663831903945,0,0
-0.33855200920138645,-0.5591367947658408,-0.36986372539574053,0,0
-0.33485888500524996,-0.5583436395879179,-0.3711509435792536,0,0
-0.3363112372172138,-0.5622036614538093,-0.36803452060864306,0,0
-0.3396308994159881,-0.5594804953429406,-0.37128644023014973,0,0
-0.3400043614133503,-0.5569688372795182,-0.3743012407125882,0,0
-0.33830303453647836,-0.5614898217936787,-0.3749787239670687,0,0
-0.33772209365169287,-0.5596126878725945,-0.37172680434556205,0,0
-0.33485888500524996,-0.5603794045445866,-0.37291240004090304,0,0
-0.3333235412383168,-0.562679554560563,-0.3698975995584646,0,0
-0.3344024314529185,-0.5613311907580941,-0.37111706941652955,0,0
-0.33739012743181546,-0.5602472120149328,-0.3707105794638412,0,0
-0.3384690176464171,-0.5585287091294332,-0.37308177085452315,0,0
-0.33896696697623324,-0.5613840677699556,-0.37220104262369846,0,0
-0.33809555564905497,-0.5596920033903868,-0.3696266062566724,0,0
-0.33834453031396305,-0.5582378855641948,-0.36817001725953913,0,0
-0.3334480285707709,-0.5567573292320721,-0.3709815727656335,0,0
-0.33460991034034193,-0.5607231051216865,-0.37094769860290944,0,0
-0.33411196101052576,-0.5582378855641948,-0.36982985123301654,0,0
-0.3335725159032249,-0.5590839177539793,-0.37033796367387695,0,0
-0.3397138909709575,-0.5583436395879179,-0.3719977976473543,0,0
-0.34145671362531405,-0.559004602236187,-0.3709815727656335,0,0
-0.3390499585312026,-0.5600885809793482,-0.36610369333337345,0,0
-0.33739012743181546,-0.5635784637622089,-0.36959273209394833,0,0
-0.3397968825259269,-0.5603794045445866,-0.3708799502774614,0,0
-0.33830303453647836,-0.5604322815564481,-0.3707105794638412,0,0
-0.33801256409408564,-0.5614369447818172,-0.3699314737211886,0,0
-0.3359792709973363,-0.5589252867183947,-0.37375925410900374,0,0
-0.33900846275371793,-0.5599828269556252,-0.37050733448749706,0,0
