Sensor_0,Sensor_1,Sensor_2,Sensor_3
104129.75,104627.75,101575.5,113965.75
104142.75,104632.75,101571.5,113972.75
104138.5,104618,101569.75,113967.75
104142.75,104627.75,101568,113964
104137.25,104633.75,101564.25,113966.75
104133.25,104638.75,101565.75,113966.25
104138.5,104624.5,101569.5,113956.25
104128,104624.25,101576.5,113966
104124.5,104619.5,101572,113958.25
104124.5,104628,101579.75,113967
104131.25,104633.75,101573,113965.5
104116.75,104627.25,101571.5,113970.75
104115.5,104631.25,101569.75,113968.25
104116.5,104631.5,101582,113967
104111.25,104627.25,101574.5,113969
104107.25,104628.75,101565,113968
104120.25,104625,101576,113959.5
104111.25,104617.75,101577.25,113967
104105.75,104627.5,101563.25,113967.75
104104.5,104620.75,101573.25,113966.5
104107.75,104629.75,101569.5,113955.75
104111.25,104636.75,101567.25,113962
104101.75,104633,101568,113975.5
104099.5,104630.25,101573,113962.5
104100.75,104623.25,101578,113969.5
104090,104629.25,101560,113956.75
104093.25,104629.5,101561.5,113971.25
104089.5,104629.25,101577.75,113959.5
104088.5,104630.5,101580,113967.25
104094,104623.75,101572,113972.75
104080.75,104626.25,101569.75,113964.25
104077,104626.25,101569.75,113965.5
104087.25,104620.25,101566.75,113967
104086.75,104628.25,101563.25,113969.5
104089,104625.5,101573,113963
104084.25,104630.75,101577.25,113966.5
104089,104627.75,101574.25,113966.75
104085.75,104628.25,101571,113969.5
104074.5,104620.25,101574.25,113967.75
104078.25,104624.75,101576.25,113968.75
104068.25,104628.5,101561.75,113962.25
104067.25,104627.5,101570.75,113963.5
104073.75,104630.25,101570,113960.25
104073.75,104628.5,101574.5,113955.25
104070.75,104626,101575.75,113967
104068.25,104623.75,101574,113967.75
104068.25,104615.75,101574.75,113969.75
104063.25,104618,101578.25,113970
104060.75,104630.5,101568.25,113960.75
104062.5,104623.5,101569.25,113968.25
104065.25,104628.5,101570.75,113964.25
104058.5,104621.5,101569,113955.75
104055.5,104620.5,101566.75,113972
104059.5,104633.75,101569.75,113970.75
104055.5,104626.25,101564.75,113970.25
104056,104631.75,101570.5,113959.75
104056.75,104625,101584.25,113970.5
104049.5,104630.25,101576,113969.75
104054.75,104627.25,101566.25,113959
104060.25,104616.75,101573.25,113969.5
104054.75,104631.75,101579,113964.75
104051,104629,101566.75,113968
104057.75,104627.25,101567.25,113967.75
104055,104624.5,101575.5,113964.25
104057,104633.5,101562.75,113963.75
104044.25,104616.75,101572,113967
104060.75,104616.75,101575.75,113965.25
104044.5,104628.5,101567.5,113974
104056.75,104620.75,101565.75,113960
104044.25,104631.25,101573,113969.75
104047.5,104622.75,101562.75,113963.25
104037.25,104625.75,101570,113959.5
104036,104636.25,101572.5,113965.5
104035,104628.25,101576.75,113964
104045.75,104631.25,101578,113966.75
104039,104625.25,101579.75,113959.25
104036.5,104624,101572.5,113962.5
104039.25,104621.5,101575.25,113959.25
104031.5,104625,101566.25,113962.75
104034.5,104621.5,101570.75,113961.25
104035.75,104633.25,101578,113969.25
104039,104625.75,101569,113960.25
104033.75,104629.75,101574,113973
104040.5,104629,101566.5,113968.5
104046.5,104626.25,101578.75,113969
104033.25,104626,101577.5,113974.75
104032,104620.5,101583,113971.75
104027,104632,101566.5,113975
104023,104626.25,101573.5,113969.5
104034.5,104632.25,101567.75,113957.75
104028.25,104619.5,101581,113970.25
104019,104627,101570.75,113969.75
104023.75,104627.25,101576,113968.5
104024.75,104628.25,101582,113967.25
104015.75,104626.75,101569.75,113962.75
104029.25,104632.5,101572.75,113966
104020,104631.5,101567.75,113959.75
104019.25,104625.5,101566,113967
104020.25,104631,101571.25,113966
104023,104630.5,101567.25,113955
104017.25,104638.25,101570.5,113973.25
104011.5,104634.25,101568.25,113966.25
104003.75,104634.25,101567.25,113973.25
104022.25,104620.75,101565.5,113969.25
104011,104629.25,101570.5,113963
104013,104629.5,101576,113971.25
104015.25,104623.25,101574.5,113964
104011.5,104636.25,101578.75,113970.25
104011.25,104623.25,101576,113961.75
